dataset,split_mode,model,seed,group,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,reliability,resolution
assist2012,learner_based,simplekt,42,warm,255,534144,0.6834506061440786,0.6997232955907021,0.6993460698187881,0.4605003920708287,0.11661744323253315,0.21206061109738694,0.02040756130304438,0.019086771118232933
assist2012,learner_based,simplekt,42,k5,4,5,1.0,0.8,0.8802854824442019,0.48907985496986683,0.31678195130807585,0.239199104537346,0.14454722282303273,0.06000000000000001
assist2012,learner_based,simplekt,42,k10,5,6,1.0,0.6666666666666666,0.9842743271263057,0.5478720327662332,0.3936198166011309,0.30016376428740454,0.22128719619214346,0.05555555555555556
assist2012,learner_based,simplekt,42,warm,255,534144,0.6837015203114715,0.6994799155283968,0.6985387606795952,0.4605531498750882,0.1175260470186841,0.21210920385986545,0.02059052384074491,0.019152831143873224
assist2012,temporal,bkt,123,strict,27,1128,0.5,0.4875886524822695,17.698060954129765,0.7158291329065405,0.5124113475177305,0.5124113475177305,0.2625653890649364,0.0
assist2012,temporal,bkt,123,k5,30,1137,0.5,0.484608619173263,17.800987658238927,0.7179076408750196,0.5153913808267371,0.5153913808267371,0.2656282754304907,0.0
assist2012,temporal,bkt,123,k10,32,1348,0.5,0.4280415430267062,19.754745252578736,0.7562793511482994,0.5719584569732937,0.5719584569732937,0.3271364765032711,0.0
assist2012,temporal,bkt,123,warm,211,417376,0.5000073877157758,0.3120998811623093,23.725485074960844,0.8292757457432095,0.6874964061182244,0.6876982624779575,0.4734880706222284,2.981676364871833e-09
assist2012,temporal,bkt,2026,strict,27,1128,0.5,0.4875886524822695,17.698060954129765,0.7158291329065405,0.5124113475177305,0.5124113475177305,0.2625653890649364,0.0
assist2012,temporal,bkt,2026,k5,30,1137,0.5,0.484608619173263,17.800987658238927,0.7179076408750196,0.5153913808267371,0.5153913808267371,0.2656282754304907,0.0
assist2012,temporal,bkt,2026,k10,32,1348,0.5,0.4280415430267062,19.754745252578736,0.7562793511482994,0.5719584569732937,0.5719584569732937,0.3271364765032711,0.0
assist2012,temporal,bkt,2026,warm,211,417376,0.5000073877157758,0.3120998811623093,23.725485074960844,0.8292757457432095,0.6874964061182244,0.6876982624779575,0.4734880706222284,2.981676364871833e-09
assist2012,temporal,bkt,42,strict,27,1128,0.5,0.4875886524822695,17.698060954129765,0.7158291329065405,0.5124113475177305,0.5124113475177305,0.2625653890649364,0.0
assist2012,temporal,bkt,42,k5,30,1137,0.5,0.484608619173263,17.800987658238927,0.7179076408750196,0.5153913808267371,0.5153913808267371,0.2656282754304907,0.0
assist2012,temporal,bkt,42,k10,32,1348,0.5,0.4280415430267062,19.754745252578736,0.7562793511482994,0.5719584569732937,0.5719584569732937,0.3271364765032711,0.0
assist2012,temporal,bkt,42,warm,211,417376,0.5000073877157758,0.3120998811623093,23.725485074960844,0.8292757457432095,0.6874964061182244,0.6876982624779575,0.4734880706222284,2.981676364871833e-09
assist2012,temporal,dkt,2024,strict,27,1407,0.4903572972951128,0.4861407249466951,0.7033887984474868,0.5049426264275261,0.04436036546177789,0.2549670559835282,0.005345170164013178,0.001332686993250653
assist2012,temporal,dkt,2024,k5,31,1420,0.4925873015873016,0.48732394366197185,0.7029698010184725,0.5046326399590656,0.044454255676131496,0.2546541013120559,0.00596125684730038,0.002213837266883336
