dataset,split,model,seed,bucket,rel_flag,n_kcs,n_events,auc,acc,nll
junyi,temporal,irt_1pl,2026,very_sparse,R,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2027,dense,R,1235,3072767,0.6485157816474582,0.7206654458343246,0.5692234664691392
junyi,temporal,irt_1pl,2027,medium,R,78,151597,0.6483998284429292,0.621628396340297,0.6582499671289582
junyi,temporal,irt_1pl,2027,sparse,R,6,16206,0.6158654598142204,0.6699370603480193,0.6291190937914851
junyi,temporal,irt_1pl,2027,very_sparse,R,4,2545,0.5,0.5147347740667977,0.7752246691797081
xes3g5m,temporal,dkt,42,dense,R,340,1191744,0.6679262388789932,0.7579631195961549,0.6028821500430835
xes3g5m,temporal,dkt,42,medium,R,72,129494,0.6214158599999314,0.6258745578945742,0.9268721385670332
xes3g5m,temporal,dkt,42,sparse,R,11,10079,0.6490477171816189,0.8227998809405696,0.5642897882223384
xes3g5m,temporal,dkt,42,very_sparse,R,127,259426,0.4780067515198984,0.5257221712550014,0.6878749915088418
junyi,temporal,dkt,42,dense,R,1235,3072767,0.7073433059093617,0.7238046360169841,0.5784243296138784
junyi,temporal,dkt,42,medium,R,78,151597,0.5562245188896736,0.5488697005877425,1.3060200183925863
junyi,temporal,dkt,42,sparse,R,6,16206,0.518347258259561,0.592990250524497,1.6869803978438558
junyi,temporal,dkt,42,very_sparse,R,4,2545,0.5902735111413295,0.5611001964636543,0.6862097388100993
junyi,temporal,simplekt,42,dense,R,1235,3072767,0.717793179147639,0.725934638063999,0.6235050173008877
junyi,temporal,simplekt,42,medium,R,78,151597,0.6435646970819779,0.6045700112799066,0.7853754609388974
junyi,temporal,simplekt,42,sparse,R,6,16206,0.6528753963455837,0.6562384302110329,0.7916607120027609
junyi,temporal,simplekt,42,very_sparse,R,4,2545,0.5052677936767933,0.550098231827112,0.7006872879840036
xes3g5m,temporal,simplekt,42,dense,R,340,1191744,0.6666082899432049,0.7516631088555932,0.8802521006363808
xes3g5m,temporal,simplekt,42,medium,R,72,129494,0.6135727823466814,0.6410953403246482,1.364835369801527
xes3g5m,temporal,simplekt,42,sparse,R,11,10079,0.6910607196401799,0.8285544200813573,0.9727175604827464
xes3g5m,temporal,simplekt,42,very_sparse,R,127,259426,0.501705974701962,0.5332194922636898,0.7647007384015686
junyi,temporal,dkt,2026,dense,R,1235,3072767,0.7051059879038605,0.7232315369177031,0.5931414696558577
junyi,temporal,dkt,2026,medium,R,78,151597,0.5743788410604598,0.5604332539562129,1.410276322518891
junyi,temporal,dkt,2026,sparse,R,6,16206,0.5468742725657966,0.6081081081081081,2.100655201849607
junyi,temporal,dkt,2026,very_sparse,R,4,2545,0.4571276694378342,0.4734774066797642,0.6974298612498302
junyi,temporal,dkt,2027,dense,R,1235,3072767,0.7055285512621358,0.7242631803843246,0.5927814211552588
junyi,temporal,dkt,2027,medium,R,78,151597,0.5697828590285092,0.5566930744012085,1.439680982151808
junyi,temporal,dkt,2027,sparse,R,6,16206,0.5365337429802368,0.5973713439466865,1.81717066491028
junyi,temporal,dkt,2027,very_sparse,R,4,2545,0.5355020551967117,0.5245579567779961,0.6923234474727915
xes3g5m,temporal,dkt,2026,dense,R,340,1191744,0.6701690286687133,0.7720282208259492,0.640865177734081
xes3g5m,temporal,dkt,2026,medium,R,72,129494,0.674464484115314,0.7010672309141737,0.9807933160482292
xes3g5m,temporal,dkt,2026,sparse,R,11,10079,0.5367564524119058,0.8171445579918643,1.012585730937026
xes3g5m,temporal,dkt,2026,very_sparse,R,127,259426,0.5025253326940106,0.4964382906879033,0.6895845609725738
xes3g5m,temporal,dkt,2024,dense,R,340,1191744,0.659390718353445,0.7524803984748403,0.6618785939396884
xes3g5m,temporal,dkt,2024,medium,R,72,129494,0.575814564734464,0.5922822679043045,1.255109407570124
xes3g5m,temporal,dkt,2024,sparse,R,11,10079,0.6409320743911261,0.8526639547574164,1.0838628261844647
xes3g5m,temporal,dkt,2024,very_sparse,R,127,259426,0.5106336901742099,0.5431953620685668,0.6808106947769978
xes3g5m,temporal,dkt,2025,dense,R,340,1191744,0.6658772740063228,0.7581871610010203,0.6550107687599804
xes3g5m,temporal,dkt,2025,medium,R,72,129494,0.629319804144063,0.6121364696433812,1.2436139513712583
xes3g5m,temporal,dkt,2025,sparse,R,11,10079,0.6409643053254841,0.8172437741839468,0.944860566802839
xes3g5m,temporal,dkt,2025,very_sparse,R,127,259426,0.5599497224550564,0.5366694163268139,0.6787422165156308
xes3g5m,temporal,dkt,2027,dense,R,340,1191744,0.6576975276338364,0.7605769359862521,0.6588930620219392
xes3g5m,temporal,dkt,2027,medium,R,72,129494,0.6014821118248239,0.5853012494787403,1.3971169002728272
xes3g5m,temporal,dkt,2027,sparse,R,11,10079,0.4911984976698713,0.7577140589344181,1.1816096455808058
xes3g5m,temporal,dkt,2027,very_sparse,R,127,259426,0.5095672423473894,0.5189765096790607,0.6925667094987903
junyi,temporal,dkt,2024,dense,R,1235,3072767,0.7097136292740556,0.7253595863272418,0.5815894721463796
junyi,temporal,dkt,2024,medium,R,78,151597,0.5736777284691186,0.5598923461546073,1.3955145618773834
junyi,temporal,dkt,2024,sparse,R,6,16206,0.572068650416709,0.606133530791065,1.5699245474914665
junyi,temporal,dkt,2024,very_sparse,R,4,2545,0.399983929288871,0.443614931237721,0.7043496874522295
junyi,temporal,dkt,2025,dense,R,1235,3072767,0.7059944157481606,0.7236559101292093,0.5898727687895743
junyi,temporal,dkt,2025,medium,R,78,151597,0.5707851252690236,0.55833558711584,1.413037612777622
junyi,temporal,dkt,2025,sparse,R,6,16206,0.5627292932476153,0.6029865481920277,1.5737040860928264
junyi,temporal,dkt,2025,very_sparse,R,4,2545,0.560258367586612,0.524950884086444,0.687250987024493
junyi,temporal,simplekt,2024,dense,R,1235,3072767,0.712664018608425,0.7211848474030085,0.6845879471273311
junyi,temporal,simplekt,2024,medium,R,78,151597,0.6440690536953908,0.6055133017144139,0.8122460865585952
junyi,temporal,simplekt,2024,sparse,R,6,16206,0.5722103739014489,0.5821300752807602,1.1135779710425522
junyi,temporal,simplekt,2024,very_sparse,R,4,2545,0.3716861884599932,0.3941060903732809,0.7023077064517235
junyi,temporal,simplekt,2025,dense,R,1235,3072767,0.7150128506889655,0.7221149537208646,0.6644693661233181
junyi,temporal,simplekt,2025,medium,R,78,151597,0.6528682338743963,0.6136269187384975,0.8145716331387275
junyi,temporal,simplekt,2025,sparse,R,6,16206,0.6382010496307338,0.6361841293348143,0.8235144052192855
junyi,temporal,simplekt,2025,very_sparse,R,4,2545,0.5365531415149736,0.5394891944990177,0.6906772505992167
junyi,temporal,simplekt,2026,dense,R,1235,3072767,0.7133296303398626,0.7230912724589922,0.6729607549323335
junyi,temporal,simplekt,2026,medium,R,78,151597,0.6478025856121541,0.6091281489739243,0.8213625920966324
junyi,temporal,simplekt,2026,sparse,R,6,16206,0.5881662516969783,0.6111316796248303,0.9396373332110396
junyi,temporal,simplekt,2026,very_sparse,R,4,2545,0.4867670055938436,0.5540275049115914,0.6956914716224112
junyi,temporal,simplekt,2027,dense,R,1235,3072767,0.7112079167776093,0.7180850354094535,0.6754792264487072
