dataset,split_mode,model,seed,setting,bucket,auc,ece
assist2012,temporal,dkt,2026,Main,dense,0.6616380876248228,0.08581555033535668
assist2012,temporal,dkt,2026,Main,medium,0.5525729401960929,0.2880996473172391
assist2012,temporal,dkt,2026,Main,sparse,0.5871737778654861,0.31499900867650577
assist2012,temporal,dkt,2026,Main,strict_cold_start,0.5058094656908112,0.06840842544990136
assist2012,temporal,dkt,2026,Main,very_sparse,0.5819950097186418,0.35039518321521923
assist2012,temporal,dkt,2026,Alt_1,dense,0.6614112977349451,0.08626749226000774
assist2012,temporal,dkt,2026,Alt_1,medium,0.5376893240086422,0.29505229743798245
assist2012,temporal,dkt,2026,Alt_1,sparse,0.577991889999764,0.3554760249640849
assist2012,temporal,dkt,2026,Alt_1,strict_cold_start,0.5058094656908112,0.06840842544990136
assist2012,temporal,dkt,2026,Alt_1,very_sparse,0.42500000000000004,0.49195797904166305
assist2012,temporal,dkt,2026,Alt_2,dense,0.662154966698741,0.08447475805437984
assist2012,temporal,dkt,2026,Alt_2,medium,0.6238250713447666,0.20088492451397533
assist2012,temporal,dkt,2026,Alt_2,sparse,0.5412997159430661,0.3104959107595731
assist2012,temporal,dkt,2026,Alt_2,strict_cold_start,0.5058094656908112,0.06840842544990136
assist2012,temporal,dkt,2026,Alt_2,very_sparse,0.6059510453044261,0.36562599151202013
assist2012,temporal,dkt,2027,Main,dense,0.6620968325174186,0.08395537841240736
assist2012,temporal,dkt,2027,Main,medium,0.5684337214509629,0.25537489715295847
assist2012,temporal,dkt,2027,Main,sparse,0.6241361559685292,0.3100140024474314
assist2012,temporal,dkt,2027,Main,strict_cold_start,0.5406905080403005,0.049062298050821476
assist2012,temporal,dkt,2027,Main,very_sparse,0.6141078838174274,0.36581386802657
assist2012,temporal,dkt,2027,Alt_1,dense,0.6619641718253422,0.0841805360618749
assist2012,temporal,dkt,2027,Alt_1,medium,0.5617597287569394,0.2840002520950992
assist2012,temporal,dkt,2027,Alt_1,sparse,0.6141692952716574,0.34518976689953046
assist2012,temporal,dkt,2027,Alt_1,strict_cold_start,0.5406905080403005,0.049062298050821476
assist2012,temporal,dkt,2027,Alt_1,very_sparse,0.42633744855967076,0.49070129481339975
assist2012,temporal,dkt,2027,Alt_2,dense,0.6626905035058629,0.08257612840952404
assist2012,temporal,dkt,2027,Alt_2,medium,0.6254683688796427,0.18920814963882396
