dataset,split_mode,model,seed,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,learner_based,simplekt,42,medium,70,5773,0.7294645490985441,0.6734799930711934,0.8469341452583353,0.49232317395201924,0.1673340146381504,0.24238210761019022,0.24900063848117873,0.032636820288944324,0.038729814004594874
assist2012,learner_based,simplekt,42,sparse,37,440,0.7473155416012559,0.7090909090909091,1.060402684675223,0.49354526855798375,0.20793233316261212,0.2435869321159723,0.24677169421487605,0.04855867770456715,0.05129019045350829
assist2012,learner_based,simplekt,42,very_sparse,8,15,0.8214285714285714,0.6666666666666666,1.0552954315510732,0.5497389042925624,0.3476079905429894,0.30221286289278715,0.24888888888888888,0.14616192362071115,0.09055555555555556
assist2012,temporal,bkt,123,dense,145,411293,0.5000128748333938,0.3112209544047674,23.75574778089212,0.8298077428069951,0.6883827344496503,0.6885808900224414,0.21386873717128144,0.4747121618039971,8.952837072534977e-09
assist2012,temporal,bkt,123,medium,29,3519,0.49889402711983355,0.36516055697641375,21.888499643004877,0.7963221797265282,0.6339869281045751,0.6341290139244103,0.23197127177347085,0.40231241941695545,0.00015467726601603538
assist2012,temporal,bkt,123,sparse,27,2184,0.5001310501485234,0.37866300366300365,21.445357249560697,0.7881767108158717,0.6211080586080586,0.6212225274725275,0.23516600920447073,0.3860592878388614,2.76957080469936e-06
assist2012,temporal,bkt,123,strict_cold_start,27,1128,0.5,0.4875886524822695,17.698060954129765,0.7158291329065405,0.5124113475177305,0.5124113475177305,0.24984595845279411,0.2625653890649364,0.0
assist2012,temporal,bkt,123,very_sparse,15,600,0.5,0.2916666666666667,24.464966613061733,0.8416254115301723,0.7083333333333334,0.7083333333333334,0.2065972222222222,0.5017361111111112,0.0
assist2012,temporal,bkt,2026,dense,145,411293,0.5000128748333938,0.3112209544047674,23.75574778089212,0.8298077428069951,0.6883827344496503,0.6885808900224414,0.21386873717128144,0.4747121618039971,8.952837072534977e-09
assist2012,temporal,bkt,2026,medium,29,3519,0.49889402711983355,0.36516055697641375,21.888499643004877,0.7963221797265282,0.6339869281045751,0.6341290139244103,0.23197127177347085,0.40231241941695545,0.00015467726601603538
