dataset,split_mode,model,seed,bucket,bin_id,n_bin,conf_bin,acc_bin,gap_bin
junyi,temporal,bkt,42,sparse,6,0,,,
junyi,temporal,bkt,42,sparse,7,14,0.5,0.5714285714285714,0.0714285714285714
junyi,temporal,bkt,42,sparse,8,0,,,
junyi,temporal,bkt,42,sparse,9,0,,,
junyi,temporal,bkt,42,sparse,10,0,,,
junyi,temporal,bkt,42,sparse,11,0,,,
junyi,temporal,bkt,42,sparse,12,0,,,
junyi,temporal,bkt,42,sparse,13,0,,,
junyi,temporal,bkt,42,sparse,14,0,,,
junyi,temporal,bkt,42,very_sparse,0,2214,0.0,0.5203252032520326,0.5203252032520326
junyi,temporal,bkt,42,very_sparse,1,0,,,
junyi,temporal,bkt,42,very_sparse,2,0,,,
junyi,temporal,bkt,42,very_sparse,3,0,,,
junyi,temporal,bkt,42,very_sparse,4,0,,,
junyi,temporal,bkt,42,very_sparse,5,0,,,
junyi,temporal,bkt,42,very_sparse,6,0,,,
junyi,temporal,bkt,42,very_sparse,7,0,,,
junyi,temporal,bkt,42,very_sparse,8,0,,,
junyi,temporal,bkt,42,very_sparse,9,0,,,
junyi,temporal,bkt,42,very_sparse,10,0,,,
junyi,temporal,bkt,42,very_sparse,11,0,,,
junyi,temporal,bkt,42,very_sparse,12,0,,,
junyi,temporal,bkt,42,very_sparse,13,0,,,
junyi,temporal,bkt,42,very_sparse,14,0,,,
junyi,temporal,dkt,42,dense,0,40196,0.0314923432732129,0.7079808936212558,0.6764885503480429
junyi,temporal,dkt,42,dense,1,42899,0.10107813131839381,0.7095503391687452,0.6084722078503514
junyi,temporal,dkt,42,dense,2,53873,0.1677522072557299,0.7071445807733002,0.5393923735175703
junyi,temporal,dkt,42,dense,3,65348,0.2344596511929773,0.7072902001591479,0.4728305489661706
junyi,temporal,dkt,42,dense,4,81588,0.3011523372546513,0.7040128450262293,0.402860507771578
junyi,temporal,dkt,42,dense,5,100701,0.3678891927744028,0.7074309093256274,0.33954171655122456
junyi,temporal,dkt,42,dense,6,125978,0.434521464782276,0.7068535776087889,0.2723321128265129
junyi,temporal,dkt,42,dense,7,179581,0.5007449135021403,0.7071015307855508,0.20635661728341048
junyi,temporal,dkt,42,dense,8,181667,0.5676408956408592,0.7059179707927141,0.13827707515185494
junyi,temporal,dkt,42,dense,9,217747,0.6341846638851597,0.7075642833196324,0.07337961943447269
junyi,temporal,dkt,42,dense,10,259850,0.7009691080378183,0.7069270733115259,0.005957965273707622
junyi,temporal,dkt,42,dense,11,314800,0.7677722856485707,0.7081797966963151,0.05959248895225555
junyi,temporal,dkt,42,dense,12,386804,0.834608577592246,0.7073504927560211,0.12725808483622492
junyi,temporal,dkt,42,dense,13,489095,0.9012576216125298,0.7078624807041577,0.19339514090837207
junyi,temporal,dkt,42,dense,14,532640,0.9655566505658068,0.7070159957945329,0.25854065477127386
junyi,temporal,dkt,42,medium,0,1957,0.03045131380877291,0.5360245273377618,0.505573213528989
